Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.5,0.4,0.6,1.1,0.7,0.7,0.3,0.1,0.6
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6001,2800,2600,2000,2400,2000,27901
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,4.29,4.02,4.28,4.1,4.35,4.36,4.39,4.01,4.2
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,90,84,91,88.3,91.4,93.9,91.9,87.2,88.7
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total safe,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.8,2.2,1.3,2.9,2,1.8,2.4,3.1,1.1
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,2.9,6.2,2.5,4.6,1.7,2.1,2.4,5.3,3.8
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total unsafe,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.3,1.1,0.7,1.8,0.5,1.5,1.3,2.2,0.6
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,5.4,8.5,4,6,4.6,2.4,4.6,6.1,5.8
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Neither,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.5,2,1,2.3,1.8,0.9,2,2.3,1
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,1.5,1.3,2.6,1.1,2.3,1.6,1.1,1.4,1.7
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6001,2800,2600,2000,2400,2000,27901
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,4.36,4.21,4.43,4.28,4.46,4.53,4.48,4.22,4.34
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,48.4,42.8,51.1,45.4,52.8,56.9,56,46,47.8
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total safe,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),4.8,2.5,2.6,4.4,4.7,4.2,3.9,4.7,1.9
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,22.8,28.2,18,25.8,19.4,15.6,16.1,29.5,23.1
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total unsafe,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),4.5,2.5,2,3.6,3.9,3.2,3.2,3.9,1.7
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,17.2,16.7,15.1,16.3,13.3,10.4,17.4,15,16.1
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Neither,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),4.2,2,2.2,3.5,3.3,2.4,3.3,3.3,1.6
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,11.6,12.2,15.9,12.5,14.6,17.1,10.5,9.6,13
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6001,2800,2600,2000,2400,2000,27901
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,3.43,3.21,3.57,3.28,3.52,3.73,3.6,3.23,3.4
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,25.5,23.3,25.1,20.4,23.5,19.4,32.4,15.3,24
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total safe,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),4.3,2.3,2.5,4.1,4.7,4.5,3.8,3.8,1.7
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,17.9,24.8,11.4,21.5,13.6,5.9,8.9,12.6,18
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total unsafe,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.8,2.4,1.8,3.8,4.1,2.2,2.7,2.8,1.5
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,12.4,12.6,10,11.3,9.3,4.6,12.1,6.5,11.4
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Neither,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),4,1.7,2.1,2.9,2.9,1.5,3.1,2.1,1.5
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Do not use,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,39.1,36.4,47.3,41.4,45.8,63.3,43.7,56.7,41.5
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,5,2.9,6.2,5.4,7.7,6.7,2.9,9,4.9
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6001,2800,2600,2000,2400,2000,27901
6A.20,2016-17,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,3.15,2.92,3.4,2.97,3.3,3.64,3.63,3.03,3.13
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,90.2,87.1,88.9,84.1,90.4,88.3,92.6,84,88.5
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,4.7,4.3,4.8,6.4,3.8,4.9,3.5,7.7,4.8
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,4.8,8.1,5.7,9.2,5.2,6,3.6,8.3,6.3
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.3,0.5,0.6,0.3,0.7,0.8,0.3,0,0.4
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2000,2400,2000,27900
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,4.33,4.28,4.29,4.14,4.32,4.33,4.41,4.17,4.29
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,91.4,90,91.6,89.9,91.3,93.8,93.9,88.4,91
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,3.3,3.9,2.4,4.6,1.9,2.3,1.4,2.8,3.3
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,4.3,4.5,3.6,3.6,5.4,2.1,3.4,6.8,4.2
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,1.1,1.5,2.5,1.9,1.5,1.9,1.2,2,1.6
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2000,2400,2000,27900
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,4.43,4.36,4.46,4.35,4.43,4.56,4.52,4.33,4.41
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,53.9,48.6,51.3,51,52,58.5,57.1,44.7,51.7
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,22.4,22.4,19.7,23.8,22.2,13.9,16.3,31.6,21.8
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,12.3,16.4,14.2,12.7,11.8,11.3,16.3,13.6,13.8
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,11.2,12.5,14.8,12.5,14,16.2,10.3,10.1,12.7
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2000,2400,2000,27900
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,3.56,3.42,3.53,3.42,3.5,3.77,3.63,3.21,3.5
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,25.8,25.6,23.6,18.3,25,18.8,31.9,12.6,24.3
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,17.1,22.5,13.2,19.5,15.5,6.2,8.6,13.7,17.4
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,10.9,12.8,11.3,12.1,7.8,4.8,13,6.3,11.2
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Do not use,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,40.8,35.8,45.2,43.3,44.4,59.4,43.3,58,41.6
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,5.3,3.4,6.6,6.8,7.2,10.8,3,9.4,5.5
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2000,2400,2000,27900
6A.20,2015-16,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,3.22,3.05,3.3,2.96,3.27,3.56,3.58,2.9,3.17
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,88.4,89.5,91.4,88.1,88.9,90.9,92.7,85.1,89.3
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,4,3.8,3.2,4.9,3.8,3.7,2,7.2,3.9
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,7.2,6.3,4.8,6.7,6.6,5.1,4.9,7.1,6.3
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.3,0.5,0.6,0.2,0.6,0.3,0.4,0.5,0.4
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2400,2400,2000,28300
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,4.28,4.33,4.36,4.24,4.31,4.37,4.45,4.18,4.31
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,93.6,90.3,91.2,91,91.6,92.1,93.8,85.7,91.7
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,1.3,3.3,2.9,2.4,3,3,1.7,4.4,2.4
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,4.1,4.9,3.7,4.9,3.4,3.4,3.2,7.9,4.3
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,1.1,1.5,2.3,1.7,2.1,1.6,1.3,2,1.6
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2400,2400,2000,28300
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,4.44,4.4,4.45,4.39,4.43,4.48,4.53,4.25,4.43
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,54.3,52.1,52.9,49.3,50.5,57.5,58.4,43.8,52.8
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,19.7,19.3,17.1,23.1,17.6,14.3,13.6,29.8,19.1
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,14.8,14,13.3,13.9,15.6,11.1,15.6,13.9,14.2
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,11.2,14.5,16.7,13.8,16.2,17.1,12.5,12.5,13.9
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2400,2400,2000,28300
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,3.54,3.52,3.59,3.41,3.54,3.74,3.71,3.23,3.53
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,30.3,28.5,29.6,20.7,23.1,24.3,32.9,12,27.9
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,18.5,21.9,12.9,21.8,15.5,6.5,7.5,13.3,17.9
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,13.3,11.3,9.4,11.9,10.8,7.4,13.6,7.5,11.5
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Do not use,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,32.4,33.9,41.7,41.3,42.3,53.2,43.2,54.4,37.2
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,5.7,4.3,6.3,4.4,8.3,8.6,2.7,12.8,5.6
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2400,2400,2000,28300
6A.20,2014-15,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,3.22,3.13,3.42,2.91,3.23,3.66,3.63,2.89,3.21
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,87.5,90.4,89.7,86,90.4,92.9,93.8,85.9,89
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,5,4.1,4.5,6.1,3.7,2.6,2.5,7.2,4.6
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,7.2,4.8,5.2,7.7,5.3,4.3,3.3,6.8,6
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.3,0.7,0.5,0.2,0.7,0.2,0.4,0.1,0.4
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2401,2400,2000,28301
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,At home alone,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,4.26,4.33,4.3,4.15,4.33,4.41,4.42,4.17,4.28
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,93.2,90.2,91.5,90.4,91.5,94.3,93.8,89.5,91.7
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,2.8,3.5,2.4,2.7,3.2,1.6,1.4,3.7,2.8
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,2.7,4.7,4,5,3.5,2.5,3.8,5.5,3.8
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,1.2,1.5,2.1,1.9,1.9,1.6,1,1.3,1.6
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2401,2400,2000,28301
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the day,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,4.44,4.39,4.43,4.32,4.42,4.56,4.49,4.31,4.41
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,53,50.2,49.5,47.6,48.6,58.9,54.4,43.7,50.8
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,20.6,21.4,21.4,23.9,20,14,16.3,33.1,21.2
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,12.6,15,13.3,15.2,16.9,11.6,16.8,12.3,14
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,13.8,13.4,15.8,13.3,14.5,15.5,12.6,10.9,14.1
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2401,2400,2000,28301
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,Walking alone in your neighbourhood,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,3.54,3.47,3.45,3.35,3.47,3.78,3.59,3.15,3.48
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total safe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,26.3,23.5,25.4,17.3,25.5,22.2,32.5,13.9,24.3
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Total unsafe,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,20.7,23.9,14.2,24.7,13.7,7.2,10.1,11.9,19.5
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Neither,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,10.2,12.3,10.1,12.1,9.1,4.9,9.9,8.4,10.7
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Do not use,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,37.6,36.7,43.8,41.1,46,56.9,43.5,54.1,40.3
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Not applicable,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,5.3,3.7,6.6,4.8,5.7,8.8,4.1,11.7,5.3
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,2000,8100,6000,2800,2600,2401,2400,2000,28301
6A.20,2013-14,Perceptions of safety,All ages,All people,All people,,Perceptions of safety,On public transport,During the night,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,3.11,2.96,3.26,2.79,3.33,3.59,3.57,3.05,3.09
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Total major or somewhat a problem,,,,,,Derived from ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,43.5,45.8,47.3,50.8,43.9,47.7,38.9,55,45.8
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Total major or somewhat a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3,1.5,1.9,2.5,2.8,3,2.8,4.3,1.1
